URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/electrical-power-building/6641507012.html,"Electrical Power, Building Systems Design Engineer",Financial District
https://newyork.craigslist.org/mnh/egr/d/bim-autocad-manager/6641435505.html,BIM/AUTOCAD MANAGER,Midtown West
https://newyork.craigslist.org/mnh/egr/d/construction-firm-seeking/6641184543.html,Construction Firm Seeking Assistant Project Manager,NYC
https://newyork.craigslist.org/lgi/egr/d/residential-estimate-or-sales/6640951410.html,Residential estimate or sales person,Huntington Station
https://newyork.craigslist.org/mnh/egr/d/junior-level-architect-revit/6640910555.html,Junior Level Architect-Revit User | Hospitality Projects,Midtown
https://newyork.craigslist.org/mnh/egr/d/intermediate-junior/6640759542.html,Intermediate Junior Architectural Designer,Midtown
https://newyork.craigslist.org/mnh/egr/d/junior-designer/6640622998.html,Junior Designer,Midtown East
https://newyork.craigslist.org/mnh/egr/d/jr-plumbing-fire-protection/6640537867.html,Jr. Plumbing -Fire Protection Engineers/REVIT,Midtown West
https://newyork.craigslist.org/mnh/egr/d/sr-mep-design-engineer/6640534860.html,Sr. MEP Design Engineer - Mechanical,Midtown West
https://newyork.craigslist.org/mnh/egr/d/sr-project-pm-electrical-fire/6640533980.html,Sr. Project/PM Electrical & Fire Alarm Engineers,Midtown West
https://newyork.craigslist.org/mnh/egr/d/mep-design-engineer/6640522648.html,MEP Design Engineer - Mechanical+PM,Midtown West
https://newyork.craigslist.org/mnh/egr/d/mep-design-engineer/6640520518.html,MEP Design Engineer - Electrical+Fire Alarm,Midtown West
https://newyork.craigslist.org/mnh/egr/d/cad-file-administrator/6640517994.html,CAD FILE ADMINISTRATOR,Midtown West
https://newyork.craigslist.org/mnh/egr/d/project-manager/6640502299.html,Project Manager,"New York, NY"
https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6640409401.html,Draftsperson Detailer,Long Island City
https://newyork.craigslist.org/mnh/egr/d/internship-for-the-summer-can/6640357313.html,"Internship for the Summer, can lead to Full-Time Position",Tri-State Area
https://newyork.craigslist.org/mnh/egr/d/architectural-rendering/6639975928.html,Architectural Rendering Position (freelance),
https://newyork.craigslist.org/mnh/egr/d/hvac-designers/6639746736.html,HVAC DESIGNERS,Midtown
https://newyork.craigslist.org/mnh/egr/d/mep-architecture-special/6639597642.html,MEP/Architecture - SPECIAL INSPECTOR,Midtown West
https://newyork.craigslist.org/mnh/egr/d/cad-designer-needed-on/6639465149.html,CAD Designer Needed on Contractual Basis,Midtown
https://newyork.craigslist.org/brk/egr/d/project-manager/6639424185.html,Project Manager,
https://newyork.craigslist.org/mnh/egr/d/director-of-special/6638828450.html,"Director of Special Inspections, PE",Midtown West
https://newyork.craigslist.org/mnh/egr/d/cad-drafter-for-interior/6638732483.html,CAD drafter for INTERIOR DESIGNER- PART TIME- TELECOMMUTE,
https://newyork.craigslist.org/brk/egr/d/stair-railing-builder/6638627739.html,Stair & Railing Builder,
https://newyork.craigslist.org/mnh/egr/d/architecture-expert-needed/6638583350.html,Architecture Expert Needed,
https://newyork.craigslist.org/mnh/egr/d/hvac-mechanical-project/6638516795.html,HVAC MECHANICAL PROJECT MANAGER,MANHATTAN
https://newyork.craigslist.org/brk/egr/d/project-architect/6638339309.html,Project Architect,Brooklyn
https://newyork.craigslist.org/brk/egr/d/architectural-draftsperson/6638336749.html,Architectural Draftsperson,Brooklyn
https://newyork.craigslist.org/wch/egr/d/project-manager-estimator/6638243953.html,Project Manager/Estimator,Westchester County
https://newyork.craigslist.org/mnh/egr/d/it-support-specialist-cad/6638193660.html,IT Support Specialist / CAD Specialist,Flatiron
https://newyork.craigslist.org/mnh/egr/d/architects-junior-project/6637752463.html,Architects: Junior & Project Level,Manhattan
https://newyork.craigslist.org/lgi/egr/d/project-architect/6637074430.html,Project Architect,WESTCHESTER
https://newyork.craigslist.org/que/egr/d/free-lance-or-pt-structural/6636958630.html,Free-lance or PT -Structural PE with Stamp,Queens/Manhattan
https://newyork.craigslist.org/que/egr/d/exterior-restoration-ll11/6636856246.html,Exterior Restoration/ LL11 Reports,North Flushing
https://newyork.craigslist.org/que/egr/d/free-lance-sketchup-2018/6636762498.html,◄◄  FREE-LANCE SKETCHUP 2018 ARCHITECT AVAILABLE FOR YOUR PROJECT,"Queens, New York"
https://newyork.craigslist.org/mnh/egr/d/seeking-interior-design-spaz/6636372893.html,Seeking : Interior Design Spaz and or Project Management dork,Flatiron
